TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2019-07-29 23:07:57,012    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 5 GetThresholdCommand sent to server 20.200.20.103
2019-07-29 23:07:57,027    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 5 GetThresholdCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:07:57,040    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 6 GetEncryption sent to server 20.200.20.103
2019-07-29 23:07:57,379    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 6 GetEncryption received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:00,959    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 7 GetExpirationCommand sent to server 20.200.20.103
2019-07-29 23:08:00,966    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 7 GetExpirationCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:00,996    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 8 GetSerializationFormatCommand sent to server 20.200.20.103
2019-07-29 23:08:01,007    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 8 GetSerializationFormatCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:01,014    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 9 GetCompactTypesCommand sent to server 20.200.20.103
2019-07-29 23:08:01,022    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 9 GetCompactTypesCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:01,316    	NOT AVAILABLE                                	pubsubcache1756                            	21                                        	DEBUG    	Broker.NewHashmapReceived               Hashmap { (1) [20.200.20.103] }
2019-07-29 23:08:01,340    	NOT AVAILABLE                                	pubsubcache1756                            	21                                        	DEBUG    	Broker.NewHashmapRecieved               Already connected to 20.200.20.103 in the pool
2019-07-29 23:08:01,387    	NOT AVAILABLE                                	pubsubcache1756                            	21                                        	DEBUG    	Broker.NewHashmapReceived               Hashmap applied { (1) [20.200.20.103] } Pool { (1) [20.200.20.103] }
2019-07-29 23:08:03,029    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 10 GetTopicCommand sent to server 20.200.20.103
2019-07-29 23:08:03,782    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 10 GetTopicCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:03,787    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 11 GetTopicCommand sent to server 20.200.20.103
2019-07-29 23:08:04,042    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 11 GetTopicCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:04,048    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 12 SubscribeTopicCommand sent to server 20.200.20.103
2019-07-29 23:08:04,171    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 12 SubscribeTopicCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:04,347    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 13 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:08:04,412    	NOT AVAILABLE                                	pubsubcache1756                            	1                                         	DEBUG    	Broker.SendCommand                      RequestID : 14 SubscribeTopicCommand sent to server 20.200.20.103
2019-07-29 23:08:04,418    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 14 SubscribeTopicCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:04,583    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 13 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:14,787    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 15 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:08:14,789    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 15 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:25,250    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 16 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:08:25,256    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 16 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:35,248    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 17 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:08:35,252    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 17 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:45,256    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 18 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:08:45,259    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 18 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:08:55,267    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 19 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:08:55,276    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 19 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:09:05,287    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 20 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:09:05,289    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 20 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:09:15,289    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 21 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:09:15,291    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 21 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:09:25,296    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 22 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:09:25,298    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 22 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:09:35,297    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 23 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:09:35,299    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 23 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:09:45,300    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 24 GetMessageCommand sent to server 20.200.20.103
2019-07-29 23:09:45,301    	NOT AVAILABLE                                	pubsubcache1756                            	27                                        	DEBUG    	Broker.ProcessResponse                  RequestID : 24 GetMessageCommand received response from server 20.200.20.103:9800. Seq # 1
2019-07-29 23:09:55,316    	NOT AVAILABLE                                	pubsubcache1756                            	pubsubcache:TopicPollingThread            	DEBUG    	Broker.SendCommand                      RequestID : 25 GetMessageCommand sent to server 20.200.20.103
